new_cation,new_anion,IL_SMILES,Experimental logEC50,MolecularFormula,C,H,N,O,S,P,F,Cl,Br,I
CCCCn1cc[n+](C)c1,N#C[N-]C#N,CCCCn1cc[n+](C)c1.N#C[N-]C#N,3.15,C10H15N5,10.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC[N+]1(C)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.16,C11H20F6N2O4S2,11.0,20.0,2.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0
CCCCn1cc[n+](C)c1,COS(=O)(=O)[O-],CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],3.212187604,C9H18N2O4S,9.0,18.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
C[N+]1=CN(C)C=C1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,O=S(C(F)(F)F)([N-]S(=O)(C(F)(F)F)=O)=O.C[N+]1=CN(C)C=C1,3.5,C7H9F6N3O4S2,7.0,9.0,3.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0
C[N+]1(CC#N)CCCCC1,[Cl-],C[N+]1(CC#N)CCCCC1.[Cl-],4.58,C8H15ClN2,8.0,15.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C[n+]1ccn(Cc2ccccc2)c1,F[B-](F)(F)F,C[n+]1ccn(Cc2ccccc2)c1.F[B-](F)(F)F,2.97,C11H13BF4N2,11.0,13.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CCOC[N+](C)(C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.8,C9H18F6N2O5S2,9.0,18.0,2.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0
COCC[N+]1(C)CCCC1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,COCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,2.16,C14H18F18NOP,14.0,18.0,1.0,1.0,0.0,1.0,18.0,0.0,0.0,0.0
CCOCC[N+]1(C)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.34,C12H22F6N2O5S2,12.0,22.0,2.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0
CCCCn1cc[n+](C)c1,[Cl-],CCCCn1cc[n+](C)c1.[Cl-],3.553883027,C8H15ClN2,8.0,15.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCOC[N+]1(C)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.36,C10H18F6N2O6S2,10.0,18.0,2.0,6.0,2.0,0.0,6.0,0.0,0.0,0.0
OCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,OCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.79,C9H10F6N2O5S2,9.0,10.0,2.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0
C[NH+](C)CCO,O=C([O-])CO,C[NH+](C)CCO.O=C([O-])CO,3.4,C6H15NO4,6.0,15.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
CC[n+]1ccccc1,[Cl-],CC[n+]1ccccc1.[Cl-],4.22,C7H10ClN,7.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.68,C10H15F6N3O4S2,10.0,15.0,3.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0
C[N+]1(CCO)CCCCC1,[I-],C[N+]1(CCO)CCCCC1.[I-],4.58,C8H18INO,8.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
COCC[NH2+]CCOC,NS(=O)(=O)[O-],COCC[NH2+]CCOC.NS(=O)(=O)[O-],3.48,C6H18N2O5S,6.0,18.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
CCCC[N+]1(C)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.43,C11H20F6N2O5S2,11.0,20.0,2.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0
CCCCCCn1cc[n+](C)c1,[Cl-],CCCCCCn1cc[n+](C)c1.[Cl-],2.82,C10H19ClN2,10.0,19.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCCC[n+]1ccc(N(C)C)cc1,[Cl-],CCCCCC[n+]1ccc(N(C)C)cc1.[Cl-],0.93,C13H23ClN2,13.0,23.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCCCCCn1cc[n+](C)c1,CCCCCCCCOS(=O)(=O)[O-],CCCCCCCCn1cc[n+](C)c1.CCCCCCCCOS(=O)(=O)[O-],1.525044807,C20H40N2O4S,20.0,40.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
C[N+]1(Cc2ccccc2)CCOCC1,O=C([O-])C=CC(=O)O,C[N+]1(Cc2ccccc2)CCOCC1.O=C([O-])C=CC(=O)O,3.35,C16H21NO5,16.0,21.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCCCCCCCCOC[n+]1cccc(O)c1,CC1=CC(=O)[N-]S(=O)(=O)O1,CCCCCCCCCCCOC[n+]1cccc(O)c1.CC1=CC(=O)[N-]S(=O)(=O)O1,1.6,C21H34N2O6S,21.0,34.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
CC[N+](CC)(CC)CC,c1ccc2c(c1)O[B-]1(O2)Oc2ccccc2O1,CC[N+](CC)(CC)CC.c1ccc2c(c1)O[B-]1(O2)Oc2ccccc2O1,1.17,C20H28BNO4,20.0,28.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
